node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
S_0,0,0.026,0.0014,0.0348,0.0008
S_1,1,0.022,0.0001,0.0509,0.0007
S_10,2,0.0227,0.0014,0.0426,0.0007
S_100,1,0.024,0.0002,0.0527,0.0007
S_1000,3,0.0227,0.0023,0.0501,0.0007
S_1001,4,0.0207,0.0068,0.0676,0.0006
S_1002,5,0.0193,0.0007,0.05,0.0006
S_1003,4,0.0207,0.0004,0.0684,0.0006
S_1004,4,0.0233,0.0003,0.0655,0.0007
S_1005,6,0.0274,0.0034,0.0695,0.0008
S_1006,3,0.02,0.0009,0.0565,0.0006
S_1007,3,0.018,0.0007,0.0529,0.0006
S_1008,7,0.0193,0.0009,0.0437,0.0006
S_1009,8,0.018,0.0199,0.079,0.0006
S_101,0,0.0227,0.0,0.0316,0.0007
S_1010,4,0.0193,0.0063,0.0676,0.0006
S_1011,6,0.0247,0.0004,0.0628,0.0007
S_1012,9,0.0213,0.0008,0.0449,0.0007
S_1013,8,0.02,0.0123,0.074,0.0006
S_1014,9,0.0254,0.0025,0.0382,0.0008
S_1015,3,0.0227,0.0005,0.0501,0.0007
S_1016,8,0.0187,0.0016,0.0784,0.0006
S_1017,10,0.0213,0.0111,0.0639,0.0007
S_1018,3,0.024,0.0003,0.0501,0.0007
S_1019,8,0.0213,0.0008,0.0761,0.0007
S_102,1,0.022,0.0001,0.054,0.0007
S_1020,8,0.022,0.0007,0.0755,0.0007
S_1021,6,0.0227,0.0004,0.0704,0.0007
S_1022,11,0.018,0.0204,0.0793,0.0006
S_1023,4,0.022,0.001,0.0691,0.0007
S_1024,11,0.0207,0.0288,0.0797,0.0007
S_1025,6,0.022,0.0021,0.0686,0.0007
S_1026,3,0.02,0.0003,0.0528,0.0006
S_1027,3,0.026,0.0003,0.0556,0.0008
S_1028,4,0.0227,0.0005,0.0655,0.0007
S_1029,8,0.024,0.0011,0.0737,0.0007
S_103,0,0.018,0.0,0.0293,0.0006
S_1030,11,0.022,0.0044,0.0767,0.0007
S_1031,10,0.0233,0.0003,0.0618,0.0007
S_1032,10,0.0274,0.0005,0.0621,0.0008
S_1033,7,0.018,0.0002,0.0403,0.0006
S_1034,9,0.018,0.0008,0.0449,0.0006
S_1035,7,0.018,0.0,0.0363,0.0006
S_1036,11,0.018,0.0131,0.0794,0.0006
S_1037,8,0.0267,0.0006,0.0758,0.0008
S_1038,4,0.0207,0.0089,0.0723,0.0006
S_1039,11,0.0187,0.0029,0.0787,0.0006
S_104,1,0.0207,0.0012,0.0542,0.0006
S_1040,7,0.0207,0.0,0.0363,0.0006
S_1041,5,0.0207,0.0001,0.0527,0.0007
S_1042,11,0.0213,0.0015,0.0718,0.0007
S_1043,5,0.0213,0.0019,0.0531,0.0007
S_1044,11,0.0233,0.0002,0.0747,0.0007
S_1045,9,0.0187,0.0021,0.0449,0.0006
S_1046,9,0.022,0.0039,0.0475,0.0007
S_1047,8,0.018,0.0469,0.079,0.0006
S_1048,6,0.0207,0.0012,0.0694,0.0006
S_1049,3,0.0193,0.0005,0.0529,0.0006
S_105,12,0.0207,0.0003,0.0536,0.0006
S_1050,7,0.026,0.0073,0.0426,0.0008
S_1051,11,0.0213,0.0001,0.0705,0.0006
S_1052,9,0.0207,0.0007,0.0449,0.0007
S_1053,4,0.0187,0.0478,0.0678,0.0006
S_1054,4,0.0213,0.0002,0.0661,0.0007
S_1055,11,0.0213,0.0026,0.0767,0.0007
S_1056,11,0.024,0.0005,0.0778,0.0007
S_1057,9,0.02,0.0003,0.0382,0.0006
S_1058,8,0.0213,0.0003,0.0705,0.0007
S_1059,3,0.022,0.0007,0.0594,0.0007
S_106,1,0.0213,0.0017,0.0567,0.0006
S_1060,3,0.0187,0.0008,0.053,0.0006
S_1061,3,0.0254,0.0007,0.0568,0.0008
S_1062,8,0.0193,0.0007,0.0738,0.0006
S_1063,11,0.0193,0.0001,0.0747,0.0006
S_1064,3,0.018,0.0011,0.0565,0.0006
S_1065,8,0.03,0.0009,0.0724,0.0009
S_1066,9,0.028,0.0005,0.038,0.0008
S_1067,4,0.0193,0.0004,0.07,0.0006
S_1068,8,0.026,0.0005,0.0724,0.0008
S_1069,8,0.0274,0.0008,0.0759,0.0008
S_107,2,0.02,0.001,0.0503,0.0006
S_1070,9,0.0187,0.0002,0.0425,0.0006
S_1071,5,0.0247,0.0011,0.0488,0.0008
S_1072,3,0.024,0.0008,0.053,0.0007
S_1073,11,0.0227,0.0002,0.073,0.0007
S_1074,10,0.026,0.0006,0.0573,0.0008
S_1075,5,0.0207,0.0006,0.0487,0.0006
S_1076,3,0.018,0.0051,0.0572,0.0006
S_1077,4,0.0193,0.0204,0.0748,0.0006
S_1078,6,0.022,0.0083,0.0689,0.0007
S_1079,4,0.0227,0.0008,0.0672,0.0007
S_108,2,0.0207,0.0002,0.0497,0.0006
S_1080,3,0.018,0.0005,0.0559,0.0006
S_1081,8,0.0267,0.0008,0.0759,0.0008
S_1082,9,0.0193,0.0,0.0363,0.0006
S_1083,6,0.0254,0.0022,0.069,0.0008
S_1084,9,0.0193,0.0,0.0363,0.0006
S_1085,4,0.0193,0.0004,0.07,0.0006
S_1086,9,0.0227,0.0,0.0364,0.0007
S_1087,4,0.0207,0.0054,0.0703,0.0006
S_1088,4,0.0233,0.0006,0.0714,0.0007
S_1089,3,0.0254,0.0002,0.0557,0.0008
S_109,2,0.0254,0.0008,0.0462,0.0008
S_1090,6,0.018,0.0005,0.0675,0.0006
S_1091,10,0.022,0.002,0.0606,0.0007
S_1092,8,0.0213,0.0002,0.0735,0.0007
S_1093,10,0.0227,0.0003,0.0573,0.0007
S_1094,11,0.0227,0.0009,0.0765,0.0007
S_1095,4,0.0213,0.0001,0.0671,0.0007
S_1096,3,0.0294,0.0015,0.0559,0.0009
S_1097,3,0.02,0.0007,0.054,0.0006
S_1098,4,0.02,0.0004,0.0645,0.0006
S_1099,6,0.02,0.0005,0.0598,0.0006
S_11,13,0.026,0.0007,0.0321,0.0008
S_110,2,0.022,0.0002,0.0461,0.0007
S_1100,6,0.0193,0.0268,0.0717,0.0006
S_1101,9,0.0213,0.0,0.0363,0.0007
S_1102,8,0.0213,0.0008,0.0761,0.0007
S_1103,6,0.0233,0.0004,0.0599,0.0007
S_1104,10,0.0233,0.0016,0.0561,0.0007
S_1105,8,0.0213,0.0114,0.0739,0.0007
S_1106,7,0.0207,0.0031,0.0437,0.0007
S_1107,11,0.02,0.0004,0.0772,0.0006
S_1108,3,0.018,0.0084,0.0595,0.0006
S_1109,8,0.0207,0.0001,0.0758,0.0006
S_111,0,0.0233,0.0,0.0317,0.0007
S_1110,10,0.0227,0.0003,0.0631,0.0007
S_1111,4,0.02,0.0003,0.0672,0.0006
S_1112,4,0.024,0.0007,0.0707,0.0007
S_1113,7,0.0213,0.0,0.0363,0.0006
S_1114,6,0.0207,0.005,0.0596,0.0007
S_1115,11,0.0213,0.0008,0.0764,0.0007
S_1116,8,0.0227,0.0002,0.0725,0.0007
S_1117,4,0.0193,0.0004,0.07,0.0006
S_1118,7,0.024,0.0,0.0372,0.0007
S_1119,3,0.0187,0.0002,0.0529,0.0006
S_112,1,0.0193,0.0068,0.0556,0.0006
S_1120,7,0.02,0.0,0.0363,0.0006
S_1121,6,0.0207,0.0009,0.0694,0.0006
S_1122,3,0.0233,0.0013,0.0502,0.0007
S_1123,10,0.02,0.0123,0.0648,0.0006
S_1124,6,0.0213,0.0034,0.0636,0.0007
S_1125,10,0.018,0.0016,0.056,0.0006
S_1126,11,0.0187,0.0226,0.0784,0.0006
S_1127,11,0.024,0.0006,0.0749,0.0007
S_1128,5,0.0227,0.0017,0.05,0.0007
S_1129,5,0.02,0.0001,0.0527,0.0006
S_113,12,0.018,0.0173,0.0545,0.0006
S_1130,6,0.018,0.0036,0.0654,0.0006
S_1131,3,0.018,0.0005,0.0529,0.0006
S_1132,11,0.0207,0.0003,0.0715,0.0006
S_1133,6,0.018,0.0005,0.0597,0.0006
S_1134,3,0.0213,0.0003,0.0568,0.0007
S_1135,8,0.018,0.0008,0.0763,0.0006
S_1136,11,0.0233,0.0004,0.0778,0.0007
S_1137,8,0.0193,0.0024,0.0739,0.0006
S_1138,10,0.0267,0.0007,0.0573,0.0008
S_1139,9,0.0213,0.0011,0.0383,0.0007
S_114,12,0.0187,0.0009,0.0494,0.0006
S_1140,8,0.0207,0.0002,0.0758,0.0006
S_1141,7,0.02,0.0003,0.0414,0.0006
S_1142,7,0.0207,0.0005,0.0448,0.0007
S_1143,7,0.0254,0.0001,0.0373,0.0007
S_1144,8,0.018,0.0013,0.0784,0.0006
S_1145,11,0.018,0.0007,0.0735,0.0006
S_1146,11,0.0227,0.0012,0.073,0.0007
S_1147,9,0.024,0.0016,0.0382,0.0007
S_1148,3,0.018,0.0331,0.0531,0.0006
S_1149,6,0.02,0.0028,0.0625,0.0006
S_115,0,0.0254,0.0001,0.0318,0.0007
S_1150,6,0.018,0.01,0.0715,0.0006
S_1151,3,0.0267,0.0004,0.05,0.0008
S_1152,4,0.018,0.0037,0.0746,0.0006
S_1153,6,0.018,0.0023,0.0601,0.0006
S_1154,8,0.0227,0.0003,0.0724,0.0007
S_1155,5,0.0227,0.0003,0.0529,0.0007
S_1156,10,0.0233,0.0001,0.0615,0.0007
S_1157,11,0.0233,0.0005,0.0748,0.0007
S_1158,8,0.026,0.0005,0.0722,0.0008
S_1159,3,0.0207,0.001,0.0589,0.0006
S_116,0,0.0227,0.0,0.0316,0.0007
S_1160,5,0.0254,0.0046,0.0488,0.0008
S_1161,8,0.0267,0.0005,0.0722,0.0008
S_1162,11,0.0233,0.0003,0.0715,0.0007
S_1163,3,0.0213,0.0001,0.0499,0.0007
S_1164,3,0.022,0.0013,0.0529,0.0007
S_1165,4,0.0187,0.0178,0.0752,0.0006
S_1166,11,0.0213,0.001,0.0758,0.0006
S_1167,11,0.0193,0.0139,0.0794,0.0006
S_1168,4,0.0213,0.0002,0.0671,0.0007
S_1169,6,0.0227,0.0002,0.0648,0.0007
S_117,2,0.0233,0.0016,0.0423,0.0007
S_1170,7,0.0247,0.0,0.0372,0.0007
S_1171,11,0.0207,0.0224,0.0797,0.0007
S_1172,11,0.018,0.0042,0.0788,0.0006
S_1173,6,0.0267,0.0072,0.0667,0.0008
S_1174,6,0.0233,0.0003,0.0654,0.0007
S_1175,11,0.022,0.0023,0.0791,0.0007
S_1176,6,0.02,0.0114,0.0688,0.0006
S_1177,6,0.0213,0.0016,0.0694,0.0007
S_1178,4,0.02,0.0031,0.0748,0.0006
S_1179,8,0.0254,0.0004,0.0757,0.0008
S_118,1,0.018,0.0015,0.0545,0.0006
S_1180,5,0.0227,0.0004,0.0473,0.0007
S_1181,4,0.022,0.003,0.0678,0.0007
S_1182,3,0.022,0.0006,0.0568,0.0007
S_1183,11,0.0213,0.0006,0.0724,0.0007
S_1184,6,0.0193,0.0069,0.0595,0.0006
S_1185,8,0.0187,0.0294,0.0779,0.0006
S_1186,6,0.0193,0.0046,0.0636,0.0006
S_1187,9,0.0193,0.0004,0.0474,0.0006
S_1188,6,0.024,0.0003,0.0679,0.0007
S_1189,11,0.0207,0.0004,0.0716,0.0006
S_119,1,0.0247,0.0007,0.055,0.0008
S_1190,7,0.0193,0.0007,0.0437,0.0006
S_1191,6,0.0247,0.0004,0.0654,0.0007
S_1192,3,0.0207,0.0007,0.0529,0.0007
S_1193,4,0.0213,0.0001,0.0692,0.0007
S_1194,11,0.026,0.0019,0.0772,0.0008
S_1195,10,0.018,0.0078,0.056,0.0006
S_1196,4,0.0247,0.0008,0.0713,0.0008
S_1197,3,0.0213,0.0004,0.0501,0.0007
S_1198,10,0.022,0.0002,0.0571,0.0007
S_1199,8,0.018,0.047,0.0741,0.0006
S_12,1,0.0187,0.0009,0.0574,0.0006
S_120,12,0.0207,0.0006,0.0425,0.0007
S_1200,6,0.0207,0.0003,0.0699,0.0006
S_1201,11,0.018,0.1065,0.0795,0.0006
S_1202,10,0.0207,0.0002,0.063,0.0006
S_1203,9,0.0227,0.0005,0.0426,0.0007
S_1204,10,0.0233,0.0003,0.0618,0.0007
S_1205,4,0.0193,0.0051,0.0721,0.0006
S_1206,8,0.018,0.003,0.0786,0.0006
S_1207,5,0.018,0.0329,0.0475,0.0006
S_1208,7,0.018,0.0002,0.0403,0.0006
S_1209,11,0.0227,0.0077,0.0764,0.0007
S_121,2,0.0233,0.0002,0.0491,0.0007
S_1210,4,0.0233,0.0005,0.0713,0.0007
S_1211,4,0.0233,0.0002,0.0676,0.0007
S_1212,8,0.0227,0.0003,0.0753,0.0007
S_1213,8,0.0187,0.006,0.0743,0.0006
S_1214,3,0.0207,0.0004,0.0528,0.0007
S_1215,8,0.0187,0.0036,0.0785,0.0006
S_1216,8,0.0233,0.0002,0.0746,0.0007
S_1217,6,0.0207,0.0001,0.0626,0.0006
S_1218,7,0.0227,0.0007,0.0382,0.0007
S_1219,11,0.0247,0.0004,0.0742,0.0008
S_122,12,0.0227,0.0021,0.0423,0.0007
S_1220,3,0.02,0.0005,0.054,0.0006
S_1221,8,0.0187,0.029,0.0779,0.0006
S_1222,6,0.018,0.0012,0.0624,0.0006
S_1223,11,0.0254,0.0012,0.0763,0.0008
S_1224,7,0.0227,0.0034,0.0414,0.0007
S_1225,4,0.0193,0.0256,0.0707,0.0006
S_1226,5,0.0213,0.0032,0.0531,0.0007
S_1227,11,0.02,0.0007,0.0756,0.0006
S_1228,9,0.0213,0.0145,0.0423,0.0007
S_1229,3,0.018,0.0051,0.053,0.0006
S_123,12,0.024,0.0004,0.0459,0.0008
S_1230,7,0.02,0.0008,0.0437,0.0006
S_1231,6,0.0193,0.0002,0.0675,0.0006
S_1232,11,0.018,0.0007,0.0735,0.0006
S_1233,3,0.02,0.0218,0.0502,0.0006
S_1234,8,0.0193,0.0032,0.0762,0.0006
S_1235,10,0.02,0.009,0.0641,0.0006
S_1236,11,0.022,0.0009,0.0769,0.0007
S_1237,4,0.022,0.0002,0.0693,0.0007
S_1238,10,0.018,0.0016,0.056,0.0006
S_1239,7,0.02,0.0018,0.0414,0.0006
S_124,12,0.0187,0.0023,0.0521,0.0006
S_1240,11,0.0207,0.0009,0.0716,0.0006
S_1241,4,0.022,0.0006,0.0652,0.0007
S_1242,8,0.0187,0.0294,0.0779,0.0006
S_1243,11,0.022,0.0001,0.0746,0.0007
S_1244,8,0.018,0.0683,0.0716,0.0006
S_1245,7,0.0227,0.0017,0.0425,0.0007
S_1246,9,0.0187,0.0043,0.0425,0.0006
S_1247,6,0.02,0.0008,0.0649,0.0006
S_1248,5,0.022,0.0003,0.0529,0.0007
S_1249,10,0.0207,0.0,0.0597,0.0006
S_125,0,0.022,0.0013,0.0349,0.0007
S_1250,5,0.0233,0.001,0.0515,0.0007
S_1251,11,0.022,0.0004,0.0772,0.0007
S_1252,9,0.022,0.0057,0.0403,0.0007
S_1253,8,0.0207,0.0006,0.0755,0.0006
S_1254,9,0.0233,0.0002,0.0425,0.0008
S_1255,3,0.02,0.0002,0.05,0.0006
S_1256,3,0.0213,0.0004,0.054,0.0007
S_1257,11,0.0193,0.0076,0.0788,0.0006
S_1258,3,0.0193,0.0077,0.0592,0.0006
S_1259,11,0.0193,0.0019,0.0752,0.0006
S_126,2,0.02,0.0002,0.0389,0.0007
S_1260,3,0.0193,0.0781,0.0596,0.0006
S_1261,11,0.0213,0.0015,0.0746,0.0007
S_1262,4,0.018,0.0071,0.0672,0.0006
S_1263,11,0.0213,0.0004,0.0772,0.0007
S_1264,9,0.018,0.0014,0.0424,0.0006
S_1265,8,0.02,0.0001,0.0758,0.0006
S_1266,8,0.018,0.0682,0.0762,0.0006
S_1267,3,0.018,0.0129,0.056,0.0006
S_1268,5,0.0207,0.0088,0.0488,0.0006
S_1269,9,0.018,0.0,0.0363,0.0006
S_127,2,0.018,0.0008,0.0459,0.0006
S_1270,9,0.022,0.0014,0.0448,0.0007
S_1271,7,0.018,0.0,0.0363,0.0006
S_1272,10,0.0227,0.0002,0.062,0.0007
S_1273,8,0.0233,0.0106,0.0792,0.0007
S_1274,5,0.022,0.0012,0.05,0.0007
S_1275,9,0.018,0.0009,0.0425,0.0006
S_1276,8,0.022,0.0002,0.0746,0.0007
S_1277,7,0.0227,0.0005,0.0392,0.0007
S_1278,4,0.022,0.0003,0.0713,0.0007
S_1279,9,0.02,0.0,0.0363,0.0006
S_128,1,0.0187,0.0002,0.0561,0.0006
S_1280,8,0.0207,0.0004,0.0722,0.0006
S_1281,11,0.0187,0.0088,0.0794,0.0006
S_1282,7,0.0213,0.0,0.0363,0.0006
S_1283,4,0.0227,0.0005,0.0709,0.0007
S_1284,5,0.0187,0.0008,0.0501,0.0006
S_1285,7,0.02,0.0015,0.0437,0.0007
S_1286,4,0.0213,0.0003,0.0712,0.0007
S_1287,8,0.0247,0.0006,0.0758,0.0007
S_1288,8,0.0193,0.0111,0.0738,0.0006
S_1289,8,0.0233,0.0002,0.0745,0.0007
S_129,13,0.0207,0.0,0.0293,0.0006
S_1290,9,0.0187,0.0016,0.0425,0.0006
S_1291,6,0.018,0.0002,0.0626,0.0006
S_1292,10,0.022,0.0007,0.0602,0.0007
S_1293,8,0.0207,0.0019,0.0752,0.0006
S_1294,8,0.0227,0.0002,0.0718,0.0007
S_1295,6,0.0233,0.0004,0.0599,0.0007
S_1296,5,0.018,0.0017,0.0542,0.0006
S_1297,4,0.0187,0.0787,0.0703,0.0006
S_1298,4,0.022,0.0007,0.0705,0.0007
S_1299,9,0.0187,0.0007,0.0401,0.0006
S_13,12,0.0187,0.0235,0.0582,0.0006
S_130,1,0.018,0.0007,0.0523,0.0006
S_1300,5,0.0213,0.0031,0.0531,0.0007
S_1301,8,0.024,0.0006,0.077,0.0007
S_1302,8,0.0207,0.0019,0.0752,0.0006
S_1303,9,0.024,0.0001,0.038,0.0007
S_1304,10,0.018,0.0078,0.056,0.0006
S_1305,8,0.02,0.0246,0.0763,0.0006
S_1306,6,0.0207,0.001,0.0619,0.0006
S_1307,6,0.0187,0.0046,0.0636,0.0006
S_1308,11,0.0187,0.0113,0.0794,0.0006
S_1309,10,0.022,0.0002,0.0618,0.0007
S_131,13,0.0274,0.0002,0.0316,0.0008
S_1310,6,0.0187,0.0015,0.0664,0.0006
S_1311,9,0.0227,0.0037,0.0449,0.0007
S_1312,11,0.0187,0.016,0.0794,0.0006
S_1313,4,0.02,0.0028,0.0747,0.0006
S_1314,4,0.0213,0.0003,0.0708,0.0007
S_1315,3,0.024,0.0005,0.0475,0.0007
S_1316,11,0.022,0.0025,0.0779,0.0007
S_1317,5,0.0227,0.0003,0.0529,0.0007
S_1318,7,0.0187,0.0012,0.0437,0.0006
S_1319,11,0.0193,0.0002,0.073,0.0006
S_132,1,0.018,0.0274,0.0607,0.0006
S_1320,8,0.0227,0.0014,0.0772,0.0007
S_1321,11,0.0187,0.0222,0.079,0.0006
S_1322,11,0.018,0.0119,0.0785,0.0006
S_1323,3,0.0233,0.0005,0.0529,0.0007
S_1324,8,0.0227,0.0003,0.0697,0.0007
S_1325,9,0.026,0.0019,0.0382,0.0008
S_1326,10,0.0187,0.0079,0.0637,0.0006
S_1327,11,0.0193,0.0001,0.0746,0.0006
S_1328,5,0.0233,0.0009,0.0474,0.0007
S_1329,3,0.0187,0.0015,0.0589,0.0006
S_133,2,0.018,0.0001,0.0383,0.0006
S_1330,10,0.0187,0.0147,0.0583,0.0006
S_1331,11,0.024,0.0022,0.079,0.0007
S_1332,8,0.024,0.0006,0.077,0.0007
S_1333,11,0.0247,0.0009,0.0767,0.0008
S_1334,6,0.0227,0.0116,0.0715,0.0007
S_1335,9,0.0207,0.0004,0.0449,0.0007
S_1336,4,0.0213,0.0002,0.0686,0.0007
S_1337,10,0.024,0.0004,0.0621,0.0007
S_1338,5,0.0193,0.0013,0.0544,0.0006
S_1339,3,0.018,0.001,0.0501,0.0006
S_134,1,0.02,0.0002,0.056,0.0006
S_1340,7,0.0227,0.0061,0.0403,0.0007
S_1341,8,0.0207,0.0003,0.0725,0.0006
S_1342,10,0.018,0.0718,0.0672,0.0006
S_1343,4,0.018,0.0162,0.0734,0.0006
S_1344,7,0.018,0.005,0.0449,0.0006
S_1345,6,0.0274,0.0069,0.0659,0.0008
S_1346,11,0.02,0.0008,0.0763,0.0006
S_1347,10,0.0247,0.0005,0.059,0.0007
S_1348,5,0.02,0.0056,0.0502,0.0006
S_1349,10,0.0294,0.0005,0.0558,0.0009
S_135,1,0.0187,0.0001,0.0524,0.0006
S_1350,9,0.0213,0.0014,0.0425,0.0007
S_1351,4,0.018,0.0004,0.0691,0.0006
S_1352,3,0.0193,0.0009,0.0542,0.0006
S_1353,11,0.0187,0.0516,0.0793,0.0006
S_1354,11,0.0187,0.0226,0.0784,0.0006
S_1355,11,0.0254,0.0006,0.0737,0.0008
S_1356,4,0.0227,0.0031,0.0678,0.0007
S_1357,6,0.0233,0.0121,0.0716,0.0007
S_1358,9,0.018,0.0023,0.0423,0.0006
S_1359,11,0.0207,0.0194,0.077,0.0006
S_136,2,0.0233,0.0002,0.0462,0.0007
S_1360,7,0.024,0.0019,0.0392,0.0007
S_1361,6,0.024,0.0003,0.0679,0.0007
S_1362,8,0.0254,0.0006,0.0726,0.0008
S_1363,7,0.0213,0.0033,0.0403,0.0007
S_1364,9,0.03,0.0037,0.0382,0.0009
S_1365,4,0.0213,0.0001,0.0692,0.0007
S_1366,6,0.0207,0.0143,0.0688,0.0006
S_1367,10,0.0227,0.0003,0.0618,0.0007
S_1368,11,0.0247,0.0005,0.0737,0.0007
S_1369,8,0.0254,0.0005,0.0726,0.0008
S_137,12,0.0227,0.0004,0.05,0.0007
S_1370,9,0.02,0.0048,0.0402,0.0006
S_1371,8,0.018,0.012,0.0792,0.0006
S_1372,11,0.0233,0.0005,0.0748,0.0007
S_1373,9,0.0213,0.0,0.0363,0.0007
S_1374,7,0.0267,0.0007,0.0382,0.0008
S_1375,9,0.0193,0.002,0.0475,0.0006
S_1376,11,0.0267,0.0006,0.0762,0.0008
S_1377,11,0.018,0.0034,0.0788,0.0006
S_1378,11,0.018,0.0237,0.0793,0.0006
S_1379,7,0.0207,0.0011,0.0403,0.0007
S_138,12,0.0233,0.0016,0.0405,0.0007
S_1380,5,0.02,0.0008,0.0544,0.0006
S_1381,10,0.0207,0.0083,0.0592,0.0006
S_1382,7,0.0187,0.0006,0.0403,0.0006
S_1383,8,0.026,0.0006,0.0758,0.0008
S_1384,7,0.0227,0.0008,0.0392,0.0007
S_1385,8,0.0233,0.0005,0.0697,0.0007
S_1386,9,0.018,0.0,0.0363,0.0006
S_1387,3,0.0247,0.0013,0.0475,0.0008
S_1388,7,0.0187,0.0025,0.0425,0.0006
S_1389,11,0.02,0.0076,0.0788,0.0006
S_139,1,0.0193,0.0001,0.0533,0.0006
S_1390,3,0.0227,0.0012,0.0502,0.0007
S_1391,7,0.0213,0.0009,0.0425,0.0007
S_1392,9,0.0187,0.0044,0.0449,0.0006
S_1393,5,0.0207,0.0058,0.0502,0.0006
S_1394,4,0.0227,0.0011,0.0671,0.0007
S_1395,3,0.024,0.0031,0.0529,0.0007
S_1396,8,0.02,0.0034,0.0743,0.0006
S_1397,3,0.0233,0.0007,0.054,0.0007
S_1398,6,0.0213,0.003,0.0636,0.0007
S_1399,8,0.0187,0.0049,0.0772,0.0006
S_14,1,0.024,0.0001,0.0538,0.0007
S_140,12,0.022,0.0004,0.047,0.0007
S_1400,10,0.02,0.0001,0.0571,0.0006
S_1401,6,0.0247,0.0037,0.0637,0.0007
S_1402,3,0.026,0.0006,0.0573,0.0008
S_1403,7,0.018,0.007,0.0437,0.0006
S_1404,11,0.0193,0.037,0.076,0.0006
S_1405,7,0.018,0.0016,0.0437,0.0006
S_1406,8,0.0207,0.0003,0.0764,0.0006
S_1407,7,0.0193,0.0011,0.0449,0.0006
S_1408,5,0.018,0.0367,0.0546,0.0006
S_1409,8,0.02,0.0001,0.072,0.0006
S_141,12,0.022,0.0011,0.0495,0.0007
S_1410,5,0.0233,0.0009,0.0474,0.0007
S_1411,10,0.02,0.0002,0.0616,0.0006
S_1412,4,0.02,0.0009,0.0665,0.0006
S_1413,6,0.018,0.0004,0.0597,0.0006
S_1414,4,0.02,0.0006,0.0692,0.0006
S_1415,11,0.02,0.0003,0.0763,0.0006
S_1416,11,0.024,0.0003,0.0737,0.0007
S_1417,7,0.024,0.0013,0.0382,0.0007
S_1418,6,0.0207,0.0003,0.0598,0.0006
S_1419,6,0.0187,0.0053,0.0656,0.0006
S_142,13,0.0254,0.0007,0.0321,0.0008
S_1420,6,0.0187,0.0194,0.0743,0.0006
S_1421,8,0.0187,0.0006,0.0738,0.0006
S_1422,11,0.0233,0.0003,0.0731,0.0007
S_1423,5,0.024,0.001,0.0515,0.0007
S_1424,10,0.0187,0.0007,0.0572,0.0006
S_1425,4,0.0213,0.0001,0.0671,0.0007
S_1426,11,0.0207,0.001,0.0757,0.0006
S_1427,5,0.0233,0.0028,0.0462,0.0007
S_1428,8,0.02,0.0006,0.0726,0.0006
S_1429,6,0.0193,0.001,0.0693,0.0006
S_143,2,0.0193,0.0006,0.0427,0.0006
S_1430,8,0.0254,0.0006,0.0739,0.0008
S_1431,11,0.022,0.0004,0.0771,0.0007
S_1432,6,0.0247,0.0021,0.0715,0.0008
S_1433,4,0.0187,0.018,0.0752,0.0006
S_1434,7,0.02,0.001,0.0403,0.0006
S_1435,9,0.018,0.0,0.0363,0.0006
S_1436,11,0.022,0.0003,0.0729,0.0007
S_1437,11,0.0227,0.0148,0.0773,0.0007
